Selected 3D Solid Vertices - TRUE REVERSE ENGINEERING
==================================================
Total vertices: 21
Format: x, y, z

 1:   35.000,   28.875,   15.000
 2:   35.000,   28.875,   16.470
 3:   35.000,   28.875,   29.000
 4:   35.000,   29.816,   16.470
 5:   35.000,   29.816,   29.000
 6:   35.000,   35.000,   15.000
 7:   35.000,   35.000,   29.000
 8:   35.400,   28.875,   16.470
 9:   35.400,   28.875,   29.000
10:   38.025,   27.000,   15.000
11:   38.025,   27.000,   29.000
12:   38.025,   28.875,   15.000
13:   38.025,   28.875,   29.000
14:   43.378,   32.824,   15.000
15:   43.378,   32.824,   29.000
16:   43.378,   35.000,   15.000
17:   43.378,   35.000,   29.000
18:   45.000,   27.000,   15.000
19:   45.000,   27.000,   29.000
20:   45.000,   32.824,   15.000
21:   45.000,   32.824,   29.000
